,Applications,Categories,Company,EmployType,ExpiryDate,Location,PostedDate,Requirements,SalaryHigh,SalaryLow,SalaryRate,Seniority,Title
0,0,"Education and Training, Human Resources",NANYANG TECHNOLOGICAL UNIVERSITY,"Contract, Full Time",Closing on 06 Mar 2019,West,Posted 05 Feb 2019,"Requirements
At least 12 years of experience in in HR operation, preferably in Shared Service environment
Demonstrated strong leadership capability in managing large teams that foster team work while driving service excellence 
Extensive knowledge of contemporary HR approaches and practices and sound knowledge of HR regulatory framework and current employment legislation
Demonstrated exceptional customer service orientation in balancing between compliance, efficiency and customer service
Proven ability to develop innovative approaches to complex issues
Demonstrated ability to develop dashboard metrics to drive, deliver and enhance service level agreements
Experienced in working in a lean management or process improvements organization, such as six sigma with proven capability in implementing continuous process improvement
Familiar with operational risk management
Experience with HR cloud solution
Results oriented self-starter, having a solid track record of initiating and leading change and performance delivery
Positive attitude with service oriented mind set
Creative and innovative with the necessary confidence to take charge, initiate and defend actions, and proactively manage customer services
Bachelor Degree in Human Resource or related discipline
We regret that only shortlisted candidates will be notified.","$15,000","$9,000",Monthly,Senior Management,"Divisional Head, HR Shared Services"
1,4,Logistics / Supply Chain,UPS ASIA GROUP PTE. LTD.,"Permanent, Full Time",Closing on 06 Mar 2019,East,Posted 04 Feb 2019,"Skills and Qualifications
Possess a Bachelor’s Degree or Master’s Degree in Computer Science, Information Systems or related discipline.
Minimum 2 years of relevant experience in similar capacity using software/tools for big data, SQL and NoSQL databases and object oriented/object function scripting languages.
Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Strong analytic skills related to working with structured and unstructured datasets.
A successful history of manipulating, processing and extracting value from large disconnected datasets.
Possess solid project management and organizational skills.
Prior experience in supporting and working with cross-functional teams in a dynamic environment.","$9,111","$5,256",Monthly,Senior Executive,APAC Data Engineer
2,0,Information Technology,ORION CONSULTANCY PTE. LIMITED,Full Time,Closing on 06 Mar 2019,Central,Posted 04 Feb 2019,"At least 7 years design and development experience in enterprise data warehousing and analytics projects
At lease 5 years of data architect and data managements
Experience with ERwin Data Modeler V7 or a comparable data modeling tool.
Experience working with and creating data architectures.
Experience in Oracle, MSSQL, MYSQL database technologies. 
Experience using web services: AWS/RDS, Redshift.
Experience with enterprise data management technologies, including database platforms, ETL tools, and SQL.
Familiar with at least two of Tableau, Microstrategy, Qlikview, Informatica, ORACLE BI tools.
Fluency and efficiency in creating technical architecture documentation, presentations and stakeholder pitches
Knowledge and experiences advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Experience using statistical computer languages (Python, SQL,R, C++, JAVA etc.) to manipulate data and draw insights from large data sets.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Strong problem solving skills with an emphasis on product development.
  Desired Skills
Best practices using data solutions using Map/Reduce, Hadoop, Hive, Cloudera, Spark, Kafka, MongoDB, NoSQL, Cassandra, Graph, etc
Knowledge of Agile development methodology and concepts.
A drive to learn and master new technologies and techniques.
Thorough knowledge of Microsoft Office Suite products, including Visio and Project
Good communication skills and customer relationship skills
Knowledge of configuration management and version control processes","$12,000","$6,500",Monthly,Executive,Solution Architect (Data)
3,0,"Advertising / Media , Information Technology, Others",CTRLSHIFT SINGAPORE PTE. LTD.,Permanent,Closing on 06 Mar 2019,South,Posted 04 Feb 2019,"PhD/Master’s /Bachelors degree in Computer Science, Statistics, or other quantitative fields.
2-5+ years of relevant experience in data science, data analytics, or applied statistics
Experience with machine learning, data mining, statistical modeling tools and underlying algorithms
Strong experience in R, Python, and/or other languages and frameworks appropriate for large scale analysis of data. (Java/C++ is a plus)
Knowledge of various machine learning libraries like Scikit-learn, TensorFlow, MLib etc. is a good plus but not necessary
Experience in RESTful API design and implementation (Preferably in Python)
Strong knowledge of relational databases and SQL, logical and physical database design
Proficient with standard SQL and relational databases such as PostgreSQL and Big Data environments (Experience with Hadoop and Spark is a plus).
Ability to work with big data and highly scalable programming experience
Experience with Linux and AWS
Experience with experiment design, A/B testing, and multivariate tests
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
Strong application testing, integration, and implementation experience.
Ability to learn quickly and effectively apply new knowledge, demonstrating the desire to stay in touch with emerging technologies
Strong creative thinking and problem-solving skills
Proven ability to work in a fast-paced environment and to meet changing deadlines/priorities in simultaneous projects
Excellent organizational, communication and interpersonal skills; enjoy working in both individual and team settings
Demonstrated passion for data analysis
Experience with data visualization tools (Tableau) is a good plus","$8,000","$5,000",Monthly,Senior Executive,Data Scientist
4,0,"Consulting , Information Technology",ASPIRE NXT PTE. LTD.,Permanent,Closing on 06 Mar 2019,Central,Posted 04 Feb 2019,"Requirements
2+ years relevant industry experience
M.Sc./Ph.D. in Computer Science, Math or related disciplines
Expertise in the data science toolbox, e.g.
Programming and Scripting skills (C, C++, C#, Java, Python, Bash, etc)
Analytics platforms (R, SaS, Octave/Matlab, etc)
Customer focused & Problem-solving skills
Possesses strong product/technology/industry knowledge
Statistical analysis and mathematical skills
Strives for professional development","$5,000","$3,500",Monthly,Executive,Data Scientist
5,7,Information Technology,REEBONZ LIMITED,Full Time,Closing on 06 Mar 2019,East,Posted 04 Feb 2019,"Job Requirements:
Degree in Business, Marketing, Business Analytics, Marketing Analytics or Statistics
Familiar using statistical computer languages (R, Python, SLQ) to manipulate data and draw insights from large data sets
Strong problem solving skills on product development
Familiar working with and creating data architectures
Experience in machine learning techniques, advanced statistical techniques and concepts and experience with applications
Excellent in verbal and written communication
Interested candidates are welcome to apply with an updated copy of their resume accompanied with their last drawn salary and earliest availability.
We regret to inform that only shortlisted candidate will be contacted. ",,,,Executive,Data Scientist
6,0,Logistics / Supply Chain,KIMBERLEY CONSULTING PTE. LTD.,Permanent,Closing on 12 Feb 2019,Central,Posted 04 Feb 2019,"Requirements:
Minimum Bachelor’s Degree in Mathematics/Computer Engineering
Preferably 1-2 years’ experience in data-mining, Python and/or R programming, and analytical skills
Ability to collaborate effectively and work as part of a team
Strong experience in performing Exploratory Data Analytics using Statistical tool such as Excel, or programming languages like R, Python
Good to have experience in working on various big data tools such as hive, spark, sqoop etc, and with MySQL and NoSQL databases
Excellent communication and engagement skills, so as to be able to explain ideas clearly regardless of the audience
Experience in working on Text analytics projects
  Interested applicants, please email a copy of your latest resume.
Kimberley Consulting
Reg No: 10C5555
Hoe ChangBang
EA License: R1435209",,,,Executive,Data Analyst
7,0,Engineering,IT CONSULTING SOLUTIONS SINGAPORE PTE. LTD.,Full Time,Closing on 06 Mar 2019,East,Posted 04 Feb 2019,"-     At least 3 years of relevant experience in facilities management in data centre environment, with at least 1 year of supervisory experience
  Additional Information:
-     Regular working hours
-     Location: Changi City Point","$7,500","$5,500",Monthly,Manager,Data Cente Facilities Manager
8,0,Engineering,MAF INTELLIGENCE PTE. LTD.,Internship,Closing on 06 Mar 2019,East,Posted 04 Feb 2019,"Strong written and oral communication skills required.
Familiar with Linux/Unix/Shell, GIT dev environment.
Familiar with Python URL and HTTP/Restful API request module programming.
Knowledgeable about Python Flask framework.
Understanding of at least one database (MySQL/PostgresSQL/SQLite).
Programming Platform/Languages:
Linux/MacOS
Python (Flask)
SQL (SQLite/PostGres)","$1,000","$1,000",Monthly,Fresh/entry level,Financial Data Integration Intern
9,1,"Banking and Finance, Information Technology",MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Full Time,Closing on 06 Mar 2019,Central,Posted 04 Feb 2019,"• University degree in Computer Science/Math/Science/Engineering.
• Deep understanding of data models TSQL within MSSQL2016.
• Strong hands on knowledge on SSIS, SSRS, SSAS
• Strong interest in technology and ideally, previous work experience in the financial industry.
• Excellent knowledge of Microsoft development environments / JIRA workflows
• Good to have working knowledge on Autosys, Power BI
• Ability to work in a dynamic, very international and culturally sensitive environment.
• Excellent communication skills.
• Finance Domain knowledge and/or Trade Operation Flow, Portfolio, Benchmark, Financial Instruments knowlkedge will be an added advantage for this role.","$6,600","$6,000",Monthly,Non-executive,IT Data Analyst
